topic,horizon,n_events,mean_return_pct,median_return_pct,win_rate_pct,best_return_pct,worst_return_pct,avg_value_of_100k
bitcoin,1d,25,-0.771,-0.054,48.0,4.21,-8.68,99229.3
bitcoin,1w,25,-2.036,-1.656,44.0,8.28,-14.84,97963.67
bitcoin,1m,25,1.435,-0.466,44.0,37.36,-15.15,101434.98
sp500,1d,379,-0.036,0.0,37.2,4.74,-5.98,99963.6
sp500,1w,378,0.272,0.415,60.6,7.6,-7.97,100272.06
sp500,1m,376,1.105,1.787,71.0,15.74,-31.93,101104.73
nasdaq,1d,68,-0.025,0.0,41.2,2.71,-5.27,99974.84
nasdaq,1w,68,0.274,0.322,55.9,6.9,-5.71,100274.3
nasdaq,1m,68,2.728,3.676,79.4,12.94,-10.29,102728.47
tariffs_china,1d,1116,0.054,0.0,43.4,9.52,-5.98,100054.46
tariffs_china,1w,1113,0.329,0.512,61.8,17.4,-17.97,100329.07
tariffs_china,1m,1104,1.46,2.077,70.9,25.11,-32.97,101460.1
