story_title,event_date,instrument,topic_display,presidency_era,in_office,sentiment_label,return_1w_pct,return_1m_pct,value_1w,value_1m,headline_text
Bitcoin — Anti-crypto tweet,2019-07-12,bitcoin,Bitcoin,President — 1st Term (2017–2021),In Office,negative,-10.8772,-2.4747,89122.75,97525.33,"I am not a fan of Bitcoin and other Cryptocurrencies, which are not money, and whose value is highly volatile and based on thin air. Unregulated Crypto Assets can facilitate unlawful behavior, including drug trade and other illegal activity...."
Bitcoin — Satoshi / Made in USA,2024-10-31,bitcoin,Bitcoin,Not President (2021–2024),Not In Office,positive,8.1032,37.3621,108103.19,137362.1,"I would like to wish our great Bitcoiners a Happy 16th Anniversary of Satoshi’s White Paper. We will end Kamala’s war on crypto, & Bitcoin will be MADE IN THE USA! VOTE TRUMP! #Bitcoin #FreeRossDayOne"
Bitcoin — Nashville Conference,2024-07-27,bitcoin,Bitcoin,Not President (2021–2024),Not In Office,positive,-10.5189,-7.2739,89481.06,92726.1,"On my way to The Bitcoin Conference in Nashville, Tennessee. Join me live at 2pmCDT/3pmEST via @Rumble : https:// rumble.com/v586l5o-bitcoin-202 4-conference-nashville-general-day-2-0727.html"
Bitcoin — US Crypto Reserve,2025-03-02,bitcoin,Bitcoin,President — 2nd Term (2025+),In Office,positive,-14.4802,-9.6333,85519.84,90366.75,"A U.S. Crypto Reserve will elevate this critical industry after years of corrupt attacks by the Biden Administration, which is why my Executive Order on Digital Assets directed the Presidential Working Group to move forward on a Crypto Strategic Reserve that includes XRP, SOL, and ADA. I will make s"
Oil — Iran diplomacy (Jun 2025),2025-06-12,oil,Iran & Geopolitics,President — 2nd Term (2025+),In Office,positive,10.1264,-1.5579,110126.4,98442.09,"We remain committed to a Diplomatic Resolution to the Iran Nuclear Issue! My entire Administration has been directed to negotiate with Iran. They could be a Great Country, but they first must completely give up hopes of obtaining a Nuclear Weapon. Thank you for your attention to this matter!"
Oil — Iran enrichment warning,2025-06-02,oil,Iran & Geopolitics,President — 2nd Term (2025+),In Office,positive,4.4306,7.8855,104430.58,107885.48,The AUTOPEN should have stopped Iran a long time ago from “enriching.” Under our potential Agreement — WE WILL NOT ALLOW ANY ENRICHMENT OF URANIUM!
Oil — Iran strike threat (Apr 2020),2020-04-01,oil,Iran & Geopolitics,President — 1st Term (2017–2021),In Office,negative,23.5352,-2.6096,123535.2,97390.45,"Upon information and belief, Iran or its proxies are planning a sneak attack on U.S. troops and/or assets in Iraq. If this happens, Iran will pay a very heavy price, indeed!"
S&P — Auto tariffs / jobs (Apr 2025),2025-04-08,sp500,Tariffs & China,President — 2nd Term (2025+),In Office,positive,8.3058,13.6705,108305.82,113670.51,https://www. washingtonexaminer.com/restori ng-america/courage-strength-optimism/3372557/auto-tariffs-steering-jobs-back-to-us/
S&P — COVID market post (Mar 2020),2020-03-22,sp500,Tariffs & China,President — 1st Term (2017–2021),In Office,neutral,17.3974,22.3098,117397.43,122309.83,CHINESE VIRUS FACT CHECK pic.twitter.com/qJugCylvE2
Nasdaq — Election eve Big Tech,2020-11-02,nasdaq,Nasdaq,President — 1st Term (2017–2021),In Office,positive,6.9009,12.7013,106900.86,112701.31,"Joe Biden is bought and paid for by Big Tech, Big Media, Big Donors, and powerful special interests. They are desperate for him to win because they own him, they control him, and they know he will always do their bidding! https://t.co/gsFSghkmdM https://t.co/7zJvOFACWz"
Nasdaq — Big Tech executive orders,2020-07-29,nasdaq,Nasdaq,President — 1st Term (2017–2021),In Office,negative,4.32,10.9333,104320.05,110933.28,"If Congress doesn’t bring fairness to Big Tech, which they should have done years ago, I will do it myself with Executive Orders. In Washington, it has been ALL TALK and NO ACTION for years, and the people of our Country are sick and tired of it!"
Gold — Admin legal services (Apr 2025),2025-04-11,gold,Gold,President — 2nd Term (2025+),In Office,positive,5.7104,-0.0683,105710.38,99931.72,"Today, President Donald J. Trump and Cadwalader, Wickersham & Taft, LLP (“Cadwalader”) announce the following commitments regarding a series of actions to be taken by Cadwalader: \n1. Cadwalader will provide a total of at least $100 Million Dollars in pro bono Legal Services, during the Trump Admini"
