instrument,horizon,n_events,mean_return_pct,median_return_pct,win_rate_pct,best_return_pct,worst_return_pct,avg_value_of_100k
bitcoin,1d,28,-0.613,-0.026,50.0,4.21,-8.68,99386.83
bitcoin,1w,28,-1.803,-0.153,50.0,8.28,-14.84,98197.32
bitcoin,1m,28,1.094,-0.899,39.3,37.36,-15.15,101093.57
dow,1d,15,0.005,0.0,46.7,1.05,-2.78,100005.2
dow,1w,15,-0.134,-0.151,33.3,3.02,-3.99,99866.16
dow,1m,15,-0.965,1.663,60.0,5.34,-27.58,99034.8
gold,1d,94,0.082,0.0,40.4,2.12,-2.26,100082.38
gold,1w,94,0.412,0.553,55.3,5.71,-5.65,100411.7
gold,1m,92,1.12,1.106,58.7,18.11,-11.95,101120.45
nasdaq,1d,74,-0.032,0.0,43.2,2.71,-5.27,99968.37
nasdaq,1w,74,0.095,0.269,54.1,6.9,-5.71,100095.43
nasdaq,1m,73,3.043,3.694,79.5,13.76,-10.29,103042.64
oil,1d,705,0.064,0.0,39.6,37.66,-10.26,100063.77
oil,1w,705,-1.026,-0.178,48.7,26.07,-267.92,98974.3
oil,1m,700,-0.687,-1.309,43.3,238.86,-57.91,99312.77
sp500,1d,1772,0.046,0.0,42.3,9.52,-11.98,100045.75
sp500,1w,1769,0.31,0.49,61.2,17.4,-17.97,100309.76
sp500,1m,1755,1.456,2.078,71.8,25.11,-32.97,101456.02
vix,1d,29,-2.163,0.0,31.0,8.36,-28.16,97837.42
vix,1w,29,-1.99,-0.843,41.4,36.82,-46.31,98009.89
vix,1m,28,2.945,-5.649,42.9,125.14,-44.72,102944.94
